CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Athlon 64 X2 3800+,Manchester,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket 939,90 nm,90 ,89,"Aug 1st, 2005"
Athlon 64 X2 3800+,Toledo,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket 939,90 nm,90 ,89,"Aug 1st, 2005"
Athlon 64 X2 3800+,Windsor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 3600+ EE,Windsor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2,90 nm,90 ,65,"Aug 1st, 2006"
Athlon 64 X2 3600+,Brisbane,2,2,1900 MHz,1900,1900,1900,1900,MHz,Socket AM2,65 nm,65 ,65,"Dec 5th, 2006"
Athlon 64 X2 3600+,Manchester,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket 939,90 nm,90 ,89,"Jan 1st, 2001"
Athlon 64 LE-1660,Lima,1,1,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2,65 nm,65 ,45,"May 1st, 2008"
Athlon 64 LE-1640B,Lima,1,1,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM2,65 nm,65 ,45,"Apr 28th, 2008"
Athlon 64 LE-1640,Orleans,1,1,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,90 nm,90 ,45,"Jan 7th, 2009"
Athlon 64 LE-1640,Windsor,1,1,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,90 nm,90 ,45,"Oct 8th, 2007"
Athlon 64 LE-1640,Lima,1,1,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM2,65 nm,65 ,45,"Apr 1st, 2008"
Athlon 64 LE-1620,Orleans,1,1,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,90 nm,90 ,45,"Oct 8th, 2007"
Athlon 64 LE-1620,Windsor,1,1,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,90 nm,90 ,45,"Oct 8th, 2007"
Athlon 64 LE-1600,Orleans,1,1,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,90 nm,90 ,45,"Oct 8th, 2007"
Athlon 64 LE-1600,Windsor,1,1,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,90 nm,90 ,45,"Oct 8th, 2007"
Athlon 64 FX-76,Windsor,2,2,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket F,90 nm,90 ,125,"Nov 1st, 2006"
